GID_0
AFG
AGO
ALB
ARG
ARM
ATG
AZE
BDI
BEN
BFA
BGD
BGR
BIH
BLR
BLZ
BOL
BRA
BRB
BTN
BWA
CAF
CHL
CHN
CIV
CMR
COD
COG
COL
COM
CPV
CRI
CUB
CZE
DJI
DMA
DOM
DZA
ECU
EGY
ERI
EST
ETH
FJI
FSM
GAB
GEO
GHA
GIN
GMB
GNB
GNQ
GRD
GTM
GUY
HND
HRV
HTI
HUN
IDN
IND
IRN
IRQ
JAM
JOR
KAZ
KEN
KGZ
KHM
KIR
KNA
KOR
LAO
LBN
LBR
LBY
LCA
LKA
LSO
LTU
LVA
MAR
MDA
MDG
MDV
MEX
MHL
MKD
MLI
MMR
MNE
MNG
MOZ
MRT
MUS
MWI
MYS
NAM
NER
NGA
NIC
NPL
NRU
PAK
PAN
PER
PHL
PLW
PNG
POL
PRY
ROU
RUS
RWA
SDN
SEN
SLB
SLE
SLV
SOM
SRB
SSD
STP
SUR
SVK
SVN
SWZ
SYC
SYR
TCD
TGO
THA
TJK
TKM
TLS
TON
TTO
TUN
TUR
TUV
TZA
UGA
UKR
URY
UZB
VCT
VEN
VNM
VUT
WSM
XKO
YEM
ZAF
ZMB
ZWE
